category,nattacks,nkilled,nkilledter,nwounded,nwoundedter,subcategory,subtype,type
Country,381.0,1019.0,67.0,1396.0,10.0,Algeria,Military,Target Type
Country,1.0,1.0,0.0,0.0,0.0,Algeria,NGO,Target Type
Country,4.0,9.0,1.0,2.0,0.0,Algeria,Other,Target Type
Country,546.0,1108.0,39.0,1552.0,11.0,Algeria,Police,Target Type
Country,819.0,5729.0,15.0,2551.0,9.0,Algeria,Private Citizens & Property,Target Type
Country,31.0,129.0,2.0,108.0,0.0,Algeria,Religious Figures/Institutions,Target Type
Country,20.0,0.0,0.0,0.0,0.0,Algeria,Telecommunication,Target Type
Country,27.0,45.0,0.0,21.0,0.0,Algeria,Terrorists/Non-State Militia,Target Type
Country,13.0,20.0,0.0,14.0,0.0,Algeria,Tourists,Target Type
Country,104.0,487.0,0.0,719.0,1.0,Algeria,Transportation,Target Type
Country,31.0,27.0,6.0,98.0,0.0,Algeria,Utilities,Target Type
Country,3.0,2.0,0.0,0.0,0.0,Algeria,Violent Political Party,Target Type
Country,10.0,74.0,0.0,2.0,0.0,Angola,Airports & Aircraft,Target Type
Country,40.0,72.0,0.0,63.0,0.0,Angola,Business,Target Type
Country,1.0,0.0,0.0,1.0,0.0,Angola,Educational Institution,Target Type
Country,6.0,0.0,0.0,2.0,0.0,Angola,Food or Water Supply,Target Type
Country,13.0,28.0,0.0,36.0,0.0,Angola,Government (Diplomatic),Target Type
Country,12.0,101.0,0.0,62.0,0.0,Angola,Government (General),Target Type
Country,1.0,3.0,0.0,0.0,0.0,Angola,Journalists & Media,Target Type
Country,2.0,0.0,0.0,0.0,0.0,Angola,Maritime,Target Type
Country,24.0,383.0,33.0,69.0,0.0,Angola,Military,Target Type
Country,7.0,84.0,0.0,27.0,0.0,Angola,NGO,Target Type
Country,11.0,39.0,0.0,83.0,0.0,Angola,Police,Target Type
Country,113.0,1355.0,68.0,1000.0,0.0,Angola,Private Citizens & Property,Target Type
Country,4.0,2.0,0.0,0.0,0.0,Angola,Religious Figures/Institutions,Target Type
Country,15.0,313.0,21.0,371.0,0.0,Angola,Transportation,Target Type
Country,173.0,64.0,0.0,0.0,0.0,Angola,Utilities,Target Type
Country,8.0,12.0,0.0,29.0,0.0,Angola,Violent Political Party,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Antigua and Barbuda,Government (General),Target Type
Country,1.0,0.0,0.0,0.0,0.0,Argentina,Abortion Related,Target Type
Country,7.0,0.0,0.0,0.0,0.0,Argentina,Airports & Aircraft,Target Type
Country,235.0,31.0,1.0,38.0,2.0,Argentina,Business,Target Type
Country,14.0,1.0,0.0,1.0,0.0,Argentina,Educational Institution,Target Type
Country,36.0,33.0,0.0,228.0,0.0,Argentina,Government (Diplomatic),Target Type
Country,161.0,20.0,0.0,85.0,0.0,Argentina,Government (General),Target Type
Country,36.0,4.0,0.0,7.0,0.0,Argentina,Journalists & Media,Target Type
Country,93.0,166.0,100.0,65.0,0.0,Argentina,Military,Target Type
Country,4.0,0.0,0.0,0.0,0.0,Argentina,NGO,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Argentina,Other,Target Type
Country,40.0,66.0,0.0,55.0,0.0,Argentina,Police,Target Type
Country,112.0,34.0,0.0,26.0,0.0,Argentina,Private Citizens & Property,Target Type
Country,20.0,87.0,0.0,237.0,0.0,Argentina,Religious Figures/Institutions,Target Type
Country,3.0,0.0,0.0,0.0,0.0,Argentina,Telecommunication,Target Type
Country,2.0,40.0,0.0,0.0,0.0,Argentina,Terrorists/Non-State Militia,Target Type
Country,14.0,2.0,0.0,6.0,0.0,Argentina,Transportation,Target Type
Country,5.0,0.0,0.0,0.0,0.0,Argentina,Utilities,Target Type
Country,3.0,2.0,0.0,0.0,0.0,Armenia,Business,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Armenia,Government (Diplomatic),Target Type
Country,7.0,10.0,0.0,0.0,0.0,Armenia,Government (General),Target Type
Country,1.0,0.0,0.0,0.0,0.0,Armenia,Journalists & Media,Target Type
Country,2.0,2.0,0.0,1.0,0.0,Armenia,Military,Target Type
Country,1.0,1.0,0.0,0.0,0.0,Armenia,Police,Target Type
Country,6.0,16.0,0.0,69.0,0.0,Armenia,Private Citizens & Property,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Armenia,Transportation,Target Type
Country,2.0,1.0,0.0,1.0,0.0,Australia,Airports & Aircraft,Target Type
Country,16.0,8.0,1.0,35.0,0.0,Australia,Business,Target Type
Country,17.0,2.0,1.0,8.0,0.0,Australia,Government (Diplomatic),Target Type
Country,10.0,1.0,0.0,7.0,0.0,Australia,Government (General),Target Type
Country,1.0,0.0,0.0,0.0,0.0,Australia,Maritime,Target Type
Country,2.0,2.0,0.0,0.0,0.0,Australia,Military,Target Type
Country,10.0,4.0,2.0,23.0,0.0,Australia,Police,Target Type
Country,11.0,1.0,0.0,7.0,0.0,Australia,Private Citizens & Property,Target Type
Country,9.0,0.0,0.0,1.0,0.0,Australia,Religious Figures/Institutions,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Australia,Tourists,Target Type
Country,4.0,0.0,0.0,0.0,0.0,Australia,Transportation,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Australia,Violent Political Party,Target Type
Country,11.0,8.0,1.0,43.0,2.0,Austria,Airports & Aircraft,Target Type
Country,19.0,0.0,0.0,15.0,0.0,Austria,Business,Target Type
Country,1.0,0.0,0.0,3.0,0.0,Austria,Educational Institution,Target Type
Country,23.0,6.0,0.0,24.0,0.0,Austria,Government (Diplomatic),Target Type
Country,7.0,3.0,0.0,3.0,0.0,Austria,Government (General),Target Type
Country,1.0,0.0,0.0,0.0,0.0,Austria,Journalists & Media,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Austria,Other,Target Type
Country,2.0,0.0,0.0,0.0,0.0,Austria,Police,Target Type
Country,24.0,7.0,0.0,7.0,0.0,Austria,Private Citizens & Property,Target Type
Country,4.0,2.0,0.0,28.0,0.0,Austria,Religious Figures/Institutions,Target Type
Country,2.0,0.0,0.0,1.0,0.0,Austria,Tourists,Target Type
Country,7.0,0.0,0.0,1.0,0.0,Austria,Transportation,Target Type
Country,1.0,2.0,0.0,0.0,0.0,Austria,Utilities,Target Type
Country,1.0,0.0,0.0,10.0,0.0,Azerbaijan,Airports & Aircraft,Target Type
Country,14.0,7.0,0.0,8.0,0.0,Azerbaijan,Government (General),Target Type
Country,1.0,12.0,0.0,20.0,0.0,Azerbaijan,Maritime,Target Type
Country,4.0,4.0,0.0,6.0,0.0,Azerbaijan,Military,Target Type
Country,3.0,1.0,1.0,7.0,0.0,Azerbaijan,Police,Target Type
Country,9.0,132.0,0.0,1.0,0.0,Azerbaijan,Private Citizens & Property,Target Type
Country,4.0,3.0,0.0,11.0,0.0,Azerbaijan,Religious Figures/Institutions,Target Type
Country,5.0,27.0,0.0,97.0,0.0,Azerbaijan,Transportation,Target Type
Country,1.0,2.0,0.0,3.0,0.0,Azerbaijan,Utilities,Target Type
Country,2.0,1.0,0.0,0.0,0.0,Bahamas,Government (General),Target Type
Country,1.0,0.0,0.0,0.0,0.0,Bahamas,Journalists & Media,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Bahamas,Maritime,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Bahamas,Tourists,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Bahrain,Airports & Aircraft,Target Type
Country,29.0,13.0,0.0,16.0,0.0,Bahrain,Business,Target Type
Country,8.0,0.0,0.0,1.0,0.0,Bahrain,Educational Institution,Target Type
Country,4.0,0.0,0.0,1.0,0.0,Bahrain,Government (Diplomatic),Target Type
Country,4.0,0.0,0.0,1.0,0.0,Bahrain,Government (General),Target Type
Country,2.0,0.0,0.0,0.0,0.0,Bahrain,Military,Target Type
Country,63.0,17.0,1.0,117.0,0.0,Bahrain,Police,Target Type
Country,38.0,6.0,2.0,18.0,1.0,Bahrain,Private Citizens & Property,Target Type
Country,6.0,0.0,0.0,0.0,0.0,Bahrain,Religious Figures/Institutions,Target Type
Country,2.0,0.0,0.0,2.0,0.0,Bahrain,Transportation,Target Type
Country,3.0,0.0,0.0,0.0,0.0,Bangladesh,Airports & Aircraft,Target Type
Country,83.0,71.0,2.0,607.0,0.0,Bangladesh,Business,Target Type
Country,108.0,16.0,1.0,329.0,4.0,Bangladesh,Educational Institution,Target Type
Country,9.0,2.0,0.0,35.0,0.0,Bangladesh,Government (Diplomatic),Target Type
Country,293.0,160.0,11.0,1125.0,6.0,Bangladesh,Government (General),Target Type
Country,23.0,6.0,0.0,24.0,0.0,Bangladesh,Journalists & Media,Target Type
Country,8.0,44.0,0.0,71.0,0.0,Bangladesh,Maritime,Target Type
Country,14.0,47.0,0.0,79.0,0.0,Bangladesh,Military,Target Type
Country,5.0,1.0,0.0,3.0,0.0,Bangladesh,NGO,Target Type
Country,1.0,10.0,0.0,0.0,0.0,Bangladesh,Other,Target Type
Country,101.0,50.0,22.0,819.0,19.0,Bangladesh,Police,Target Type
Country,330.0,345.0,2.0,2224.0,4.0,Bangladesh,Private Citizens & Property,Target Type
Country,53.0,39.0,1.0,283.0,0.0,Bangladesh,Religious Figures/Institutions,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Bangladesh,Telecommunication,Target Type
Country,21.0,21.0,20.0,3.0,0.0,Bangladesh,Terrorists/Non-State Militia,Target Type
Country,127.0,67.0,2.0,609.0,1.0,Bangladesh,Transportation,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Bangladesh,Utilities,Target Type
Country,177.0,91.0,8.0,814.0,2.0,Bangladesh,Violent Political Party,Target Type
Country,2.0,73.0,0.0,0.0,0.0,Barbados,Airports & Aircraft,Target Type
Country,1.0,3.0,0.0,3.0,0.0,Barbados,Tourists,Target Type
Country,2.0,0.0,0.0,0.0,0.0,Belarus,Government (Diplomatic),Target Type
Country,3.0,1.0,0.0,0.0,0.0,Belarus,Government (General),Target Type
Country,2.0,0.0,0.0,0.0,0.0,Belarus,Police,Target Type
Country,3.0,0.0,0.0,51.0,0.0,Belarus,Private Citizens & Property,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Belarus,Religious Figures/Institutions,Target Type
Country,1.0,13.0,0.0,161.0,0.0,Belarus,Transportation,Target Type
Country,14.0,0.0,0.0,26.0,0.0,Belgium,Airports & Aircraft,Target Type
Country,37.0,14.0,0.0,16.0,0.0,Belgium,Business,Target Type
Country,3.0,0.0,0.0,3.0,0.0,Belgium,Educational Institution,Target Type
Country,28.0,5.0,0.0,23.0,0.0,Belgium,Government (Diplomatic),Target Type
Country,15.0,2.0,0.0,2.0,0.0,Belgium,Government (General),Target Type
Country,6.0,1.0,0.0,18.0,0.0,Belgium,Military,Target Type
Country,5.0,1.0,0.0,2.0,0.0,Belgium,NGO,Target Type
Country,6.0,0.0,0.0,0.0,0.0,Belgium,Police,Target Type
Country,11.0,10.0,0.0,45.0,0.0,Belgium,Private Citizens & Property,Target Type
Country,9.0,6.0,0.0,103.0,0.0,Belgium,Religious Figures/Institutions,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Belgium,Telecommunication,Target Type
Country,1.0,1.0,0.0,0.0,0.0,Belgium,Terrorists/Non-State Militia,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Belgium,Tourists,Target Type
Country,2.0,0.0,0.0,0.0,0.0,Belgium,Utilities,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Belize,Business,Target Type
Country,2.0,1.0,1.0,0.0,0.0,Belize,Government (Diplomatic),Target Type
Country,3.0,0.0,0.0,0.0,0.0,Belize,Government (General),Target Type
Country,1.0,0.0,0.0,0.0,0.0,Belize,Private Citizens & Property,Target Type
Country,1.0,0.0,0.0,3.0,0.0,Benin,Business,Target Type
Country,1.0,0.0,0.0,1.0,0.0,Benin,Government (Diplomatic),Target Type
Country,5.0,0.0,0.0,0.0,0.0,Benin,Government (General),Target Type
Country,1.0,4.0,0.0,0.0,0.0,Bhutan,Business,Target Type
Country,1.0,4.0,0.0,2.0,0.0,Bhutan,Government (General),Target Type
Country,2.0,0.0,0.0,2.0,0.0,Bhutan,Private Citizens & Property,Target Type
Country,1.0,1.0,0.0,0.0,0.0,Bhutan,Utilities,Target Type
Country,5.0,0.0,0.0,0.0,0.0,Bolivia,Airports & Aircraft,Target Type
Country,36.0,5.0,0.0,17.0,0.0,Bolivia,Business,Target Type
Country,10.0,0.0,0.0,0.0,0.0,Bolivia,Educational Institution,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Bolivia,Food or Water Supply,Target Type
Country,23.0,0.0,0.0,12.0,0.0,Bolivia,Government (Diplomatic),Target Type
Country,73.0,5.0,0.0,63.0,0.0,Bolivia,Government (General),Target Type
Country,30.0,0.0,0.0,4.0,0.0,Bolivia,Journalists & Media,Target Type
Country,11.0,6.0,0.0,4.0,0.0,Bolivia,Military,Target Type
Country,2.0,0.0,0.0,0.0,0.0,Bolivia,NGO,Target Type
Country,6.0,6.0,0.0,25.0,0.0,Bolivia,Police,Target Type
Country,49.0,2.0,0.0,5.0,0.0,Bolivia,Private Citizens & Property,Target Type
Country,10.0,3.0,0.0,0.0,0.0,Bolivia,Religious Figures/Institutions,Target Type
Country,6.0,0.0,0.0,0.0,0.0,Bolivia,Telecommunication,Target Type
Country,8.0,0.0,0.0,6.0,0.0,Bolivia,Transportation,Target Type
Country,24.0,9.0,0.0,0.0,0.0,Bolivia,Utilities,Target Type
Country,5.0,0.0,0.0,0.0,0.0,Bolivia,Violent Political Party,Target Type
Country,5.0,5.0,0.0,10.0,0.0,Bosnia-Herzegovina,Business,Target Type
Country,2.0,0.0,0.0,0.0,0.0,Bosnia-Herzegovina,Educational Institution,Target Type
Country,28.0,8.0,0.0,10.0,1.0,Bosnia-Herzegovina,Government (Diplomatic),Target Type
Country,14.0,2.0,0.0,8.0,0.0,Bosnia-Herzegovina,Government (General),Target Type
Country,8.0,3.0,0.0,2.0,0.0,Bosnia-Herzegovina,Journalists & Media,Target Type
Country,10.0,2.0,0.0,7.0,0.0,Bosnia-Herzegovina,Military,Target Type
Country,4.0,0.0,0.0,1.0,0.0,Bosnia-Herzegovina,NGO,Target Type
Country,11.0,5.0,1.0,47.0,0.0,Bosnia-Herzegovina,Police,Target Type
Country,36.0,21.0,0.0,27.0,0.0,Bosnia-Herzegovina,Private Citizens & Property,Target Type
Country,22.0,2.0,0.0,25.0,0.0,Bosnia-Herzegovina,Religious Figures/Institutions,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Bosnia-Herzegovina,Telecommunication,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Bosnia-Herzegovina,Terrorists/Non-State Militia,Target Type
Country,7.0,30.0,0.0,11.0,0.0,Bosnia-Herzegovina,Transportation,Target Type
Country,2.0,0.0,0.0,0.0,0.0,Bosnia-Herzegovina,Utilities,Target Type
Country,2.0,0.0,0.0,0.0,0.0,Botswana,Business,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Botswana,Police,Target Type
Country,6.0,11.0,0.0,10.0,0.0,Botswana,Private Citizens & Property,Target Type
Country,6.0,1.0,0.0,15.0,0.0,Brazil,Airports & Aircraft,Target Type
Country,60.0,29.0,0.0,8.0,0.0,Brazil,Business,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Brazil,Educational Institution,Target Type
Country,20.0,4.0,0.0,2.0,0.0,Brazil,Government (Diplomatic),Target Type
Country,39.0,14.0,0.0,47.0,0.0,Brazil,Government (General),Target Type
Country,30.0,11.0,0.0,3.0,0.0,Brazil,Journalists & Media,Target Type
Country,9.0,10.0,0.0,12.0,0.0,Brazil,Military,Target Type
Country,8.0,0.0,0.0,5.0,0.0,Brazil,NGO,Target Type
Country,9.0,8.0,0.0,4.0,0.0,Brazil,Police,Target Type
Country,45.0,64.0,0.0,23.0,0.0,Brazil,Private Citizens & Property,Target Type
Country,9.0,1.0,0.0,13.0,0.0,Brazil,Religious Figures/Institutions,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Brazil,Telecommunication,Target Type
Country,1.0,1.0,0.0,0.0,0.0,Brazil,Tourists,Target Type
Country,11.0,0.0,0.0,25.0,0.0,Brazil,Transportation,Target Type
Country,2.0,1.0,0.0,1.0,0.0,Brazil,Violent Political Party,Target Type
Country,1.0,0.0,0.0,1.0,0.0,Brunei,Business,Target Type
Country,3.0,0.0,0.0,1.0,0.0,Bulgaria,Airports & Aircraft,Target Type
Country,9.0,10.0,0.0,0.0,0.0,Bulgaria,Business,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Bulgaria,Educational Institution,Target Type
Country,6.0,2.0,0.0,2.0,0.0,Bulgaria,Government (Diplomatic),Target Type
Country,14.0,2.0,0.0,1.0,0.0,Bulgaria,Government (General),Target Type
Country,4.0,0.0,0.0,1.0,0.0,Bulgaria,Journalists & Media,Target Type
Country,3.0,3.0,0.0,0.0,0.0,Bulgaria,Police,Target Type
Country,5.0,4.0,0.0,0.0,0.0,Bulgaria,Private Citizens & Property,Target Type
Country,2.0,0.0,0.0,0.0,0.0,Bulgaria,Religious Figures/Institutions,Target Type
Country,1.0,7.0,1.0,30.0,0.0,Bulgaria,Tourists,Target Type
Country,2.0,0.0,0.0,0.0,0.0,Bulgaria,Transportation,Target Type
Country,3.0,2.0,1.0,2.0,0.0,Burkina Faso,Government (General),Target Type
Country,1.0,0.0,0.0,1.0,0.0,Burkina Faso,Journalists & Media,Target Type
Country,3.0,5.0,1.0,7.0,0.0,Burkina Faso,Police,Target Type
Country,1.0,0.0,0.0,2.0,0.0,Burundi,Airports & Aircraft,Target Type
Country,31.0,137.0,1.0,177.0,0.0,Burundi,Business,Target Type
Country,46.0,18.0,1.0,85.0,0.0,Burundi,Educational Institution,Target Type
Country,7.0,11.0,0.0,13.0,0.0,Burundi,Government (Diplomatic),Target Type
Country,41.0,49.0,1.0,23.0,0.0,Burundi,Government (General),Target Type
Country,4.0,6.0,0.0,1.0,0.0,Burundi,Journalists & Media,Target Type
Country,2.0,4.0,0.0,0.0,0.0,Burundi,Maritime,Target Type
Country,52.0,614.0,321.0,145.0,0.0,Burundi,Military,Target Type
Country,17.0,13.0,0.0,18.0,0.0,Burundi,NGO,Target Type
Country,24.0,308.0,6.0,192.0,0.0,Burundi,Other,Target Type
Country,42.0,86.0,23.0,58.0,2.0,Burundi,Police,Target Type
Country,157.0,1719.0,71.0,936.0,0.0,Burundi,Private Citizens & Property,Target Type
Country,10.0,96.0,0.0,8.0,0.0,Burundi,Religious Figures/Institutions,Target Type
Country,1.0,8.0,0.0,19.0,0.0,Burundi,Tourists,Target Type
Country,21.0,126.0,1.0,102.0,0.0,Burundi,Transportation,Target Type
Country,3.0,8.0,0.0,0.0,0.0,Burundi,Utilities,Target Type
Country,7.0,8.0,0.0,3.0,0.0,Burundi,Violent Political Party,Target Type
Country,1.0,1.0,0.0,0.0,0.0,Cambodia,Airports & Aircraft,Target Type
Country,16.0,41.0,0.0,85.0,0.0,Cambodia,Business,Target Type
Country,26.0,1.0,0.0,15.0,0.0,Cambodia,Government (Diplomatic),Target Type
Country,23.0,87.0,0.0,182.0,0.0,Cambodia,Government (General),Target Type
Country,17.0,8.0,0.0,14.0,0.0,Cambodia,Journalists & Media,Target Type
Country,2.0,47.0,0.0,9.0,0.0,Cambodia,Maritime,Target Type
Country,16.0,20.0,0.0,48.0,0.0,Cambodia,Military,Target Type
Country,3.0,6.0,0.0,0.0,0.0,Cambodia,NGO,Target Type
Country,3.0,2.0,0.0,0.0,0.0,Cambodia,Police,Target Type
Country,44.0,180.0,0.0,166.0,0.0,Cambodia,Private Citizens & Property,Target Type
Country,1.0,23.0,0.0,0.0,0.0,Cambodia,Religious Figures/Institutions,Target Type
Country,1.0,4.0,0.0,9.0,0.0,Cambodia,Telecommunication,Target Type
Country,2.0,0.0,0.0,1.0,0.0,Cambodia,Terrorists/Non-State Militia,Target Type
Country,4.0,3.0,0.0,6.0,0.0,Cambodia,Tourists,Target Type
Country,21.0,46.0,0.0,18.0,0.0,Cambodia,Transportation,Target Type
Country,9.0,22.0,0.0,133.0,0.0,Cambodia,Violent Political Party,Target Type
Country,8.0,37.0,4.0,103.0,0.0,Cameroon,Business,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Cameroon,Educational Institution,Target Type
Country,1.0,5.0,1.0,0.0,0.0,Cameroon,Food or Water Supply,Target Type
Country,3.0,0.0,0.0,2.0,0.0,Cameroon,Government (Diplomatic),Target Type
Country,8.0,24.0,1.0,0.0,0.0,Cameroon,Government (General),Target Type
Country,1.0,0.0,0.0,0.0,0.0,Cameroon,Journalists & Media,Target Type
Country,2.0,0.0,0.0,2.0,0.0,Cameroon,Maritime,Target Type
Country,28.0,837.0,743.0,116.0,0.0,Cameroon,Military,Target Type
Country,2.0,5.0,2.0,20.0,0.0,Cameroon,Other,Target Type
Country,12.0,25.0,11.0,39.0,0.0,Cameroon,Police,Target Type
Country,93.0,674.0,281.0,201.0,0.0,Cameroon,Private Citizens & Property,Target Type
Country,9.0,149.0,52.0,0.0,0.0,Cameroon,Religious Figures/Institutions,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Cameroon,Tourists,Target Type
Country,4.0,35.0,0.0,6.0,0.0,Cameroon,Transportation,Target Type
Country,5.0,0.0,0.0,4.0,0.0,Canada,Abortion Related,Target Type
Country,1.0,329.0,0.0,0.0,0.0,Canada,Airports & Aircraft,Target Type
Country,8.0,0.0,0.0,16.0,0.0,Canada,Business,Target Type
Country,2.0,0.0,0.0,27.0,0.0,Canada,Educational Institution,Target Type
Country,1.0,0.0,0.0,0.0,0.0,Canada,Food or Water Supply,Target Type
Country,12.0,3.0,0.0,4.0,0.0,Canada,Government (Diplomatic),Target Type
Country,8.0,2.0,0.0,9.0,0.0,Canada,Government (General),Target Type
Country,2.0,1.0,0.0,2.0,0.0,Canada,Journalists & Media,Target Type
Country,3.0,4.0,2.0,4.0,0.0,Canada,Military,Target Type
Country,1.0,0.0,0.0,1.0,0.0,Canada,NGO,Target Type
Country,2.0,3.0,0.0,2.0,0.0,Canada,Police,Target Type
Country,12.0,1.0,0.0,4.0,0.0,Canada,Private Citizens & Property,Target Type
Country,4.0,0.0,0.0,0.0,0.0,Canada,Religious Figures/Institutions,Target Type
Country,2.0,0.0,0.0,0.0,0.0,Canada,Transportation,Target Type
Country,9.0,0.0,0.0,0.0,0.0,Canada,Utilities,Target Type
Country,5.0,6.0,0.0,8.0,0.0,Central African Republic,Business,Target Type
Country,37.0,101.0,27.0,114.0,0.0,Central African Republic,Government (Diplomatic),Target Type
Country,15.0,8.0,1.0,7.0,0.0,Central African Republic,Government (General),Target Type
Country,3.0,2.0,0.0,1.0,0.0,Central African Republic,Journalists & Media,Target Type
Country,15.0,124.0,75.0,50.0,30.0,Central African Republic,Military,Target Type
Country,7.0,21.0,0.0,13.0,0.0,Central African Republic,NGO,Target Type
Country,3.0,16.0,5.0,34.0,2.0,Central African Republic,Other,Target Type
Country,6.0,5.0,0.0,10.0,0.0,Central African Republic,Police,Target Type
Country,82.0,591.0,29.0,198.0,0.0,Central African Republic,Private Citizens & Property,Target Type
Country,10.0,155.0,0.0,56.0,0.0,Central African Republic,Religious Figures/Institutions,Target Type
Country,2.0,59.0,0.0,34.0,0.0,Central African Republic,Terrorists/Non-State Militia,Target Type
Country,2.0,42.0,0.0,0.0,0.0,Central African Republic,Transportation,Target Type
Country,1.0,3.0,0.0,1.0,0.0,Central African Republic,Violent Political Party,Target Type
Country,2.0,0.0,0.0,25.0,0.0,Chad,Airports & Aircraft,Target Type
Country,2.0,0.0,0.0,0.0,0.0,Chad,Business,Target Type
Country,4.0,2.0,0.0,1.0,0.0,Chad,Government (Diplomatic),Target Type
Country,6.0,164.0,0.0,1003.0,0.0,Chad,Government (General),Target Type
Country,12.0,271.0,71.0,101.0,0.0,Chad,Military,Target Type
Country,3.0,1.0,0.0,0.0,0.0,Chad,NGO,Target Type
Country,4.0,38.0,2.0,13.0,0.0,Chad,Other,Target Type
Country,5.0,51.0,6.0,110.0,5.0,Chad,Police,Target Type
Country,29.0,274.0,26.0,343.0,1.0,Chad,Private Citizens & Property,Target Type
Country,1.0,0.0,0.0,1.0,0.0,Chad,Terrorists/Non-State Militia,Target Type
Country,5.0,0.0,0.0,1.0,0.0,Chile,Airports & Aircraft,Target Type
Country,481.0,30.0,2.0,133.0,2.0,Chile,Business,Target Type
Country,50.0,1.0,0.0,23.0,0.0,Chile,Educational Institution,Target Type
